Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId,LHP,LHH,RHP,RHH
2022,David Peralta,2 Tms,50,73,65,10,8,1,0,1,1,5,7,0,20,1,0,0,2,0,0,0.15384615,2136,1,1,0,0
2022,Anthony Rizzo,NYY,68,140,120,28,10,8,0,10,10,21,14,0,22,6,0,0,3,0,0,0.23333333,3473,1,1,0,0
2022,Eric Hosmer,2 Tms,61,117,111,36,30,4,0,2,2,9,6,0,20,0,0,0,1,0,0,0.32432432,3516,1,1,0,0
2022,Michael Brantley,HOU,43,87,78,23,19,3,0,1,1,4,7,0,11,1,0,1,0,0,0,0.29487179,4106,1,1,0,0
2022,Joey Votto,CIN,53,121,98,21,13,6,0,2,2,11,17,0,41,6,0,0,3,0,0,0.21428571,4314,1,1,0,0
2022,Mike Moustakas,CIN,40,66,58,12,9,3,0,0,0,3,6,0,16,2,0,0,1,0,0,0.20689655,4892,1,1,0,0
2022,Brandon Crawford,SFG,66,118,108,26,19,4,0,3,3,16,6,0,24,4,0,0,2,0,0,0.24074074,5343,1,1,0,0
2022,Freddie Freeman,LAD,96,201,180,53,34,13,1,5,5,24,17,0,43,3,1,0,1,0,0,0.29444444,5361,1,1,0,0
2022,Didi Gregorius,PHI,35,61,55,9,7,2,0,0,0,6,2,0,9,3,1,0,0,0,0,0.16363636,6012,1,1,0,0
2022,Charlie Blackmon,COL,75,172,158,48,37,7,3,1,1,31,7,1,24,5,1,1,2,0,0,0.30379747,7859,1,1,0,0
2022,Brandon Belt,SFG,47,82,66,12,9,2,0,1,1,7,14,0,22,2,0,0,0,0,0,0.18181818,10264,1,1,0,0
2022,Kole Calhoun,TEX,51,85,77,16,10,3,0,3,3,11,6,0,26,2,0,0,3,0,0,0.20779221,11200,1,1,0,0
2022,Christian Yelich,MIL,99,203,182,47,39,2,1,5,5,13,18,0,50,2,0,1,3,0,0,0.25824176,11477,1,1,0,0
2022,Bryce Harper,PHI,61,135,117,30,16,11,0,3,3,17,15,1,35,2,1,0,2,0,0,0.25641026,11579,1,1,0,0
2022,Max Kepler,MIN,68,119,103,25,16,8,0,1,1,10,13,0,14,1,2,0,4,0,0,0.24271845,12144,1,1,0,0
2022,Ben Gamel,PIT,56,110,97,17,11,5,0,1,1,7,10,0,28,3,0,0,1,0,0,0.17525773,12160,1,1,0,0
2022,Rougned Odor,BAL,62,95,84,16,12,1,1,2,2,10,6,0,25,5,0,0,2,0,0,0.19047619,12282,1,1,0,0
2022,Kolten Wong,MIL,60,96,80,11,10,0,0,1,1,3,11,0,15,3,0,2,0,0,0,0.1375,12532,1,1,0,0
2022,Brandon Nimmo,NYM,96,234,201,53,33,12,3,5,5,26,24,0,47,6,1,2,6,0,0,0.26368159,12927,1,1,0,0
2022,Jackie Bradley Jr.,2 Tms,50,80,73,12,6,4,0,2,2,15,7,0,15,0,0,0,1,0,0,0.16438356,12984,1,1,0,0
2022,Max Muncy,LAD,82,146,118,21,11,4,0,6,6,22,22,0,29,3,3,0,1,0,0,0.1779661,13301,1,1,0,0
2022,Tyler Naquin,2 Tms,40,64,61,11,6,3,0,2,2,6,1,0,12,1,0,1,1,0,0,0.18032787,13359,1,1,0,0
2022,Jesse Winker,SEA,75,140,119,29,18,5,0,6,6,20,20,0,25,1,0,0,5,0,0,0.24369748,13590,1,1,0,0
2022,Corey Seager,TEX,96,220,200,45,23,8,0,14,14,32,16,0,36,2,2,0,6,0,0,0.225,13624,1,1,0,0
2022,Joey Wendle,MIA,39,71,61,14,10,4,0,0,0,12,6,0,13,1,2,1,2,0,0,0.2295082,13853,1,1,0,0
2022,Joey Gallo,2 Tms,54,83,73,8,4,2,0,2,2,7,10,0,40,0,0,0,0,0,0,0.10958904,14128,1,1,0,0
2022,Daniel Vogelbach,2 Tms,44,84,72,10,9,1,0,0,0,7,11,0,21,1,0,0,3,0,0,0.13888889,14130,1,1,0,0
2022,Matt Olson,ATL,89,213,183,43,24,12,0,7,7,36,26,0,46,2,2,0,7,0,0,0.23497268,14344,1,1,0,0
2022,Raimel Tapia,TOR,43,68,65,17,13,3,0,1,1,11,2,0,22,0,1,0,0,0,0,0.26153846,14350,1,1,0,0
2022,Harold Castro,DET,39,71,66,20,15,4,1,0,0,11,3,0,13,0,0,2,0,0,0,0.3030303,14691,1,1,0,0
2022,Mike Yastrzemski,SFG,77,137,123,22,13,4,1,4,4,12,10,0,41,2,1,1,1,0,0,0.17886179,14854,1,1,0,0
2022,Tony Kemp,OAK,54,86,73,16,13,2,0,1,1,8,8,0,19,2,1,2,0,0,0,0.21917808,14894,1,1,0,0
2022,Ryan McMahon,COL,84,172,149,34,27,3,1,3,3,18,19,0,42,2,2,0,2,0,0,0.22818792,15112,1,1,0,0
2022,Adam Frazier,SEA,83,155,138,29,20,8,0,1,1,11,11,0,19,4,1,1,5,0,0,0.21014493,15223,1,1,0,0
2022,Jeff McNeil,NYM,94,173,157,49,40,8,0,1,1,9,12,0,19,4,0,0,0,0,0,0.31210191,15362,1,1,0,0
2022,J.P. Crawford,SEA,91,181,154,34,23,5,3,3,3,19,21,0,28,1,4,1,3,0,0,0.22077922,15491,1,1,0,0
2022,Rowdy Tellez,MIL,76,134,115,24,18,2,0,4,4,11,17,0,34,1,1,0,3,0,0,0.20869565,15679,1,1,0,0
2022,Cody Bellinger,LAD,87,160,150,32,19,10,1,2,2,20,8,0,44,0,2,0,2,0,0,0.21333333,15998,1,1,0,0
2022,Nick Gordon,MIN,51,91,80,16,12,3,0,1,1,8,5,0,20,3,2,1,1,0,0,0.2,16337,1,1,0,0
2022,Luis Guillorme,NYM,48,96,84,18,14,4,0,0,0,5,11,0,13,1,0,0,4,0,0,0.21428571,16451,1,1,0,0
2022,Kyle Schwarber,PHI,107,229,197,38,21,6,1,10,10,30,30,0,70,1,1,0,4,0,0,0.1928934,16478,1,1,0,0
2022,Alex Verdugo,BOS,91,170,154,41,29,10,1,1,1,20,14,0,24,1,1,0,3,0,0,0.26623377,17027,1,1,0,0
2022,Rafael Devers,BOS,87,162,151,41,26,11,0,4,4,26,7,0,42,3,1,0,5,0,0,0.27152318,17350,1,1,0,0
2022,Andrew Benintendi,2 Tms,67,151,134,36,31,3,1,1,1,8,15,0,19,1,0,1,2,0,0,0.26865672,17901,1,1,0,0
2022,Cedric Mullins,BAL,93,197,182,38,28,5,1,4,4,15,11,0,48,3,0,1,1,0,0,0.20879121,17929,1,1,0,0
2022,Jake Cronenworth,SDP,99,211,181,42,27,8,1,6,6,26,19,0,48,8,3,0,1,0,0,0.2320442,18036,1,1,0,0
2022,Seth Brown,OAK,62,99,92,16,9,4,0,3,3,12,6,0,30,1,0,0,1,0,0,0.17391304,18171,1,1,0,0
2022,Kyle Tucker,HOU,103,223,206,47,26,8,0,13,13,47,15,0,32,0,1,0,3,0,0,0.22815534,18345,1,1,0,0
2022,Trent Grisham,SDP,78,134,118,24,15,4,0,5,5,13,9,0,35,2,1,4,1,0,0,0.20338983,18564,1,1,0,0
2022,Luis Arraez,MIN,69,124,113,30,25,2,1,2,2,7,10,0,9,1,0,0,0,0,0,0.26548673,18568,1,1,0,0
2022,Jared Walsh,LAA,66,118,110,22,14,4,1,3,3,11,7,0,34,1,0,0,3,0,0,0.2,18607,1,1,0,0
2022,Josh Naylor,CLE,67,127,110,19,14,4,0,1,1,11,14,0,34,2,1,0,5,0,0,0.17272727,18839,1,1,0,0
2022,Nicky Lopez,KCR,74,125,111,23,22,0,1,0,0,6,6,0,15,3,1,4,4,0,0,0.20720721,19339,1,1,0,0
2022,Yordan Alvarez,HOU,93,192,162,52,29,13,0,10,10,33,25,0,37,2,3,0,4,0,0,0.32098765,19556,1,1,0,0
2022,Nathaniel Lowe,TEX,100,211,194,64,45,8,1,10,10,29,14,0,41,3,0,0,3,0,0,0.32989691,19566,1,1,0,0
2022,Josh Rojas,ARI,69,129,111,27,21,4,0,2,2,12,14,0,35,1,0,3,4,0,0,0.24324324,19734,1,1,0,0
2022,Shohei Ohtani,LAA,103,228,205,54,34,9,2,9,9,27,19,1,60,2,2,0,1,0,0,0.26341463,19755,1,1,0,0
2022,Pavin Smith,ARI,39,66,62,14,10,3,0,1,1,4,2,0,20,1,1,0,1,0,0,0.22580645,19892,1,1,0,0
2022,Daulton Varsho,ARI,75,129,122,27,20,5,1,1,1,13,3,0,36,2,1,1,2,0,0,0.22131148,19918,1,1,0,0
2022,Andres Gimenez,CLE,75,128,113,38,29,5,0,4,4,14,7,0,21,5,0,3,1,0,0,0.33628319,19950,1,1,0,0
2022,Gavin Lux,LAD,71,109,99,26,20,4,1,1,1,11,10,0,26,0,0,0,0,0,0,0.26262626,19955,1,1,0,0
