Pitcher_Delivery_Times,Catcher_Throw_Times,Runner_Steal_Times,,,,
1.38,1.82,3.47,,,,
1.53,1.89,3.48,,,,
1.15,1.89,3.49,,,,
1.35,1.89,3.51,,,,
1.54,1.9,3.52,,,,
1.22,1.91,3.52,,,,
1.22,1.92,3.53,,,,
1.34,1.92,3.53,,,,
1.25,1.92,3.54,,,,
1.53,1.93,3.54,,,,
1.3,1.93,3.54,,,,
1.2,1.93,3.54,,,,
1.23,1.93,3.54,,,,
1.4,1.93,3.55,,,,
1.12,1.93,3.55,,,,
1.31,1.93,3.56,,,,
1.52,1.94,3.57,,,,
1.28,1.94,3.57,,,,
1.1,1.94,3.57,,,,
1.36,1.94,3.57,,,,
1.3,1.94,3.58,,,,
1.46,1.95,3.58,,,,
1.37,1.95,3.58,,,,
1.3,1.95,3.59,,,,
1.46,1.95,3.59,,,,
1.25,1.95,3.59,,,,
1.44,1.96,3.59,,,,
1.28,1.96,3.59,,,,
1.59,1.97,3.59,,,,
1.32,1.97,3.6,,,,
1.28,1.97,3.6,,,,
1.4,1.97,3.6,,,,
1.28,1.97,3.6,,,,
1.38,1.97,3.6,,,,
1.49,1.98,3.61,,,,
1,1.98,3.61,,,,
1.15,1.98,3.61,,,,
1.23,1.99,3.61,,,,
1.4,1.99,3.62,,,,
1.47,1.99,3.62,,,,
1.25,1.99,3.62,,,,
1.4,1.99,3.62,,,,
1.26,1.99,3.62,,,,
1.41,1.99,3.63,,,,
1.24,1.99,3.63,,,,
1.38,1.99,3.63,,,,
1.24,2,3.63,,,,
1.35,2,3.63,,,,
1.36,2,3.64,,,,
1.47,2,3.64,,,,
1.33,2,3.64,,,,
1.42,2.01,3.64,,,,
1.11,2.01,3.64,,,,
1.46,2.01,3.65,,,,
1.42,2.01,3.65,,,,
1.28,2.01,3.65,,,,
1.4,2.03,3.65,,,,
1.39,2.03,3.65,,,,
1.47,2.03,3.65,,,,
1.35,2.03,3.65,,,,
1.57,2.03,3.66,,,,
1.59,2.04,3.66,,,,
1.33,2.04,3.66,,,,
1.43,2.05,3.66,,,,
1.16,2.06,3.67,,,,
1.38,2.07,3.67,,,,
1.25,2.08,3.67,,,,
1.47,2.08,3.67,,,,
1.48,2.09,3.68,,,,
1.14,2.11,3.68,,,,
1.46,1.89,3.68,,,,
1.33,1.91,3.68,,,,
1.46,1.92,3.68,,,,
1.48,1.92,3.68,,,,
1.28,1.93,3.68,,,,
1.28,1.95,3.68,,,,
1.68,1.96,3.69,,,,
1.25,1.96,3.69,,,,
1.37,1.97,3.69,,,,
1.36,1.97,3.69,,,,
1.26,1.97,3.69,,,,
1.25,1.97,3.69,,,,
1.35,1.97,3.69,,,,
1.39,1.97,3.7,,,,
1.25,1.97,3.7,,,,
1.1,1.98,3.7,,,,
1.41,1.98,3.71,,,,
1.44,1.98,3.71,,,,
1.28,1.98,3.71,,,,
1.57,1.99,3.71,,,,
1.47,2,3.72,,,,
1.13,2,3.72,,,,
1.57,2.01,3.72,,,,
1.57,2.01,3.72,,,,
1.51,2.01,3.72,,,,
1.41,2.01,3.73,,,,
1.24,2.01,3.73,,,,
1.37,2.01,3.74,,,,
1.47,2.01,3.74,,,,
1.54,2.02,3.75,,,,
1.52,2.02,3.75,,,,
1.38,2.02,3.75,,,,
1.17,2.02,3.75,,,,
1.29,2.03,3.75,,,,
1.35,2.03,3.76,,,,
1.52,2.03,3.76,,,,
1.15,2.03,3.76,,,,
1.36,2.03,3.78,,,,
1.2,2.03,3.78,,,,
1.54,2.04,3.78,,,,
1.33,2.04,3.78,,,,
1.54,2.04,3.79,,,,
1.29,2.04,3.79,,,,
1.3,2.04,3.79,,,,
1.27,2.05,3.8,,,,
1.09,2.05,3.8,,,,
1.13,2.05,3.8,,,,
1.12,2.05,3.82,,,,
1.32,2.06,3.86,,,,
1.22,2.06,3.88,,,,
1.52,2.06,3.9,,,,
1.39,2.07,3.93,,,,
1.45,2.07,,,,,
1.42,2.08,,,,,
1.41,2.08,,,,,
1.37,2.09,,,,,
1.36,2.09,,,,,
1.2,2.1,,,,,
1.47,2.12,,,,,
1.53,2.15,,,,,
1.48,2.17,,,,,
1.5,1.88,,,,,
1.3,1.92,,,,,
1.36,1.92,,,,,
1.45,1.93,,,,,
1.13,1.93,,,,,
1.19,1.93,,,,,
1.14,1.94,,,,,
1.29,1.95,,,,,
1.49,1.95,,,,,
1.35,1.96,,,,,
1.5,1.96,,,,,
1.4,1.96,,,,,
1.36,1.96,,,,,
1.31,1.96,,,,,
1.25,1.97,,,,,
1.4,1.97,,,,,
1.23,1.98,,,,,
1.39,1.98,,,,,
1.5,1.99,,,,,
1.38,1.99,,,,,
1.26,1.99,,,,,
1.65,1.99,,,,,
1.48,1.99,,,,,
1.17,1.99,,,,,
1.73,1.99,,,,,
1.47,1.99,,,,,
1.69,2,,,,,
1.34,2,,,,,
1.3,2,,,,,
1.47,2.01,,,,,
1.34,2.01,,,,,
1.22,2.01,,,,,
1.26,2.01,,,,,
1.38,2.01,,,,,
1.28,2.02,,,,,
,2.02,,,,,
,2.03,,,,,
,2.03,,,,,
,2.03,,,,,
,2.04,,,,,
,2.05,,,,,
,2.05,,,,,
,2.05,,,,,
,2.06,,,,,
,2.06,,,,,
,2.06,,,,,
,2.07,,,,,
,2.07,,,,,
,2.07,,,,,
,2.07,,,,,
,2.08,,,,,
,2.09,,,,,
,2.1,,,,,
,2.1,,,,,
,2.12,,,,,
,2.12,,,,,
,2.14,,,,,
